image_name,correct_option,correct_letter,topic,subtopic,difficulty,source
cnn_padding_same_01,3,C,cnn,shape,easy,authored
cnn_param_count_01,2,B,cnn,parameter_count,easy,authored
cnn_shape_01,1,A,cnn,shape_propagation,moderate,mirror:sample_image_2
cnn_shape_stack_01,1,A,cnn,shape_propagation,moderate,adapted:Tutorials.Q1
cnn_receptive_field_01,2,B,cnn,receptive_field,moderate,authored
cnn_depthwise_separable_01,3,C,cnn,parameter_count,moderate,adapted:Tutorials.Q3
cnn_transposed_conv_01,2,B,cnn,shape_propagation,moderate,authored
cnn_dilation_rf_01,2,B,cnn,receptive_field,hard,adapted:Tutorials.Q4
cnn_flops_01,3,C,cnn,flops,hard,authored
cnn_1x1_purpose_01,2,B,cnn,layer_semantics,hard,authored
loss_bce_basic_01,2,B,loss_opt,loss_selection,easy,authored
activation_dying_relu_01,2,B,loss_opt,activations,easy,authored
loss_focal_01,2,B,loss_opt,focal_loss,moderate,adapted:Tutorials.Q22
loss_label_smoothing_01,2,B,loss_opt,label_smoothing,moderate,adapted:Tutorials.Q21
loss_softmax_temperature_01,2,B,loss_opt,temperature_scaling,moderate,adapted:Tutorials.Q27
loss_mse_vs_ce_01,2,B,loss_opt,loss_selection,moderate,authored
opt_adam_first_moment_01,1,A,loss_opt,adam,moderate,adapted:Tutorials.Q23
opt_momentum_velocity_01,2,B,loss_opt,momentum,moderate,adapted:Tutorials.Q24
opt_weight_decay_adamw_01,4,D,loss_opt,weight_decay,hard,adapted:Tutorials.Q25
loss_ce_gradient_logits_01,1,A,loss_opt,cross_entropy,hard,authored
gan_vs_vae_01,1,A,gan,comparison,easy,adapted:Quiz4.Q2
gan_optimal_discriminator_01,3,C,gan,gan_theory,moderate,adapted:Quiz4.Q6
gan_mode_collapse_01,2,B,gan,failure_modes,moderate,adapted:Quiz4.Q11
gan_wgan_lipschitz_01,1,A,gan,wgan,moderate,adapted:Quiz4.Q13
gan_non_saturating_01,2,B,gan,generator_loss,moderate,adapted:Quiz4.Q10
gan_js_optimum_01,1,A,gan,gan_theory,hard,adapted:Tutorials.Q10
gan_disjoint_support_01,2,B,gan,training_dynamics,hard,adapted:Quiz4.Q3
gan_wgan_gp_penalty_01,2,B,gan,wgan_gp,hard,adapted:Tutorials.Q12
vae_elbo_decomposition_01,1,A,vae,elbo,moderate,authored
vae_reparameterization_01,3,C,vae,reparameterization,moderate,adapted:Quiz4.Q9
vae_kl_closed_form_01,1,A,vae,kl_divergence,moderate,adapted:Quiz4.Q1
vae_posterior_collapse_01,3,C,vae,failure_modes,moderate,adapted:Quiz4.Q8
vae_bernoulli_decoder_01,1,A,vae,decoder_likelihood,moderate,adapted:Quiz4.Q12
vae_elbo_gap_01,3,C,vae,elbo,hard,adapted:Quiz4.Q4
vae_beta_vae_01,3,C,vae,beta_vae,hard,adapted:Quiz4.Q7
vae_kl_compute_01,2,B,vae,kl_divergence,hard,adapted:Tutorials.Q14
rnn_gru_vs_lstm_01,2,B,rnn,gate_architecture,easy,authored
rnn_gradient_vanishing_01,2,B,rnn,gradient_flow,moderate,adapted:Tutorials.Q5
rnn_lstm_cell_update_01,2,B,rnn,lstm_cell,moderate,adapted:Tutorials.Q6
rnn_gru_param_count_01,2,B,rnn,parameter_count,moderate,adapted:Tutorials.Q7
rnn_lstm_cell_gradient_01,1,A,rnn,gradient_flow,hard,authored
rnn_exposure_bias_01,1,A,rnn,training_dynamics,hard,adapted:Tutorials.Q8
ae_linear_pca_01,2,B,autoencoder,pca_connection,moderate,adapted:Tutorials.Q17
ae_denoising_01,2,B,autoencoder,denoising,moderate,adapted:Tutorials.Q20
ae_sparse_penalty_01,2,B,autoencoder,sparse,moderate,adapted:Tutorials.Q18
ae_contractive_01,1,A,autoencoder,contractive,hard,adapted:Tutorials.Q19
mlp_pytorch_01,1,A,misc,pytorch_mapping,moderate,mirror:sample_image_1
dropout_inverted_01,1,A,misc,dropout,easy,adapted:Tutorials.Q30
bn_train_eval_01,2,B,misc,batch_norm,moderate,authored
init_he_vs_xavier_01,2,B,misc,initialization,hard,adapted:Quiz2.Q3
